CAMPO;TIPO;TAMANHO;DECIMAL;TITULO;DESCRICAO;CONTEXTO;X3_INIPAD;X3_VALID;X3_RELACAO
ZZ2_FILIAL;C;2;0;Filial;Filial do Sistema;Real;xFilial("ZZ2");;
ZZ2_CONFOR;C;6;0;Codigo NC;Codigo da NC Vinculada;Real;;ExistCpo("ZZ1",xFilial("ZZ1")+M->ZZ2_CONFOR,1);
ZZ2_DATA;D;8;0;Data Acao;Data da Acao Corretiva;Real;dDataBase;M->ZZ2_DATA <= dDataBase;
ZZ2_HORA;C;8;0;Hora Acao;Hora da Acao Corretiva;Real;Time();;
ZZ2_FORNEC;C;6;0;Fornecedor;Codigo do Fornecedor;Real;;;
ZZ2_LOJAFO;C;2;0;Loja Forn.;Loja do Fornecedor;Real;;;
ZZ2_NOMEFO;C;40;0;Nome Forn.;Nome do Fornecedor;Virtual;;;POSICIONE("SA2",1,xFilial("SA2")+M->ZZ2_FORNEC+M->ZZ2_LOJAFO,"A2_NOME")
ZZ2_CODPRO;C;15;0;Produto;Codigo do Produto;Real;;ExistCpo("SB1",xFilial("SB1")+M->ZZ2_CODPRO,1);
ZZ2_VLRUNI;N;12;2;Vlr Unit.;Valor Unitario do Item;Real;;;
ZZ2_QTDOK;N;12;2;Qtd OK;Quantidade Aprovada;Real;;;
ZZ2_QTDNOK;N;12;2;Qtd NOK;Quantidade Rejeitada;Real;;;
ZZ2_TOTOK;N;12;2;Total OK;Valor Total Aprovado;Virtual;;;M->ZZ2_QTDOK * M->ZZ2_VLRUNI
ZZ2_TOTNOK;N;12;2;Total NOK;Valor Total Rejeitado;Virtual;;;M->ZZ2_QTDNOK * M->ZZ2_VLRUNI
